"_id","_index","_score","_type","书名","作者","出版日期","出版社","售价","译者","链接"
aNJKc3EBZhrcTXFrDON9,"douban_book_top250",0,"_doc","树上的男爵","[意大利]伊塔洛·卡尔维诺","2012-4-1","译林出版社","30.00元","吴正仪","https://book.douban.com/subject/6789605/"
adJKc3EBZhrcTXFrDOOS,"douban_book_top250",0,"_doc","邓小平时代","[美] 傅高义","2013-1","生活·读书·新知三联书店","88.00元","冯克利","https://book.douban.com/subject/20424526/"
atJKc3EBZhrcTXFrDOOo,"douban_book_top250",0,"_doc","人间词话","王国维","1998-12-01","上海古籍出版社","9.80元","-","https://book.douban.com/subject/1203426/"
"a9JKc3EBZhrcTXFrDOO-","douban_book_top250",0,"_doc","爱你就像爱生命","王小波","2008-5","上海锦绣文章出版社","18.00元","-","https://book.douban.com/subject/3071717/"
bNJKc3EBZhrcTXFrDOPU,"douban_book_top250",0,"_doc","窗边的小豆豆","[日] 黑柳彻子 著","2003-1","南海出版公司","20.00元","赵玉皎","https://book.douban.com/subject/1007914/"
bdJKc3EBZhrcTXFrDOPr,"douban_book_top250",0,"_doc","台北人","白先勇","2010-10","广西师范大学出版社","38.00元","-","https://book.douban.com/subject/5337248/"
btJKc3EBZhrcTXFrDeME,"douban_book_top250",0,"_doc","永恒的终结:关于时间旅行的终极奥秘和恢宏构想","[美] 艾萨克·阿西莫夫","2014-9-1","江苏凤凰文艺出版社","32.00元","崔正男","https://book.douban.com/subject/25829693/"
b9JKc3EBZhrcTXFrDeMZ,"douban_book_top250",0,"_doc","西游记（全二册）","吴承恩","2004-8","人民文学出版社","47.20元","黄肃秋 注释","https://book.douban.com/subject/1029553/"
cNJKc3EBZhrcTXFrDeMu,"douban_book_top250",0,"_doc","我们仨","杨绛","2003-7","生活·读书·新知三联书店","18.80元","-","https://book.douban.com/subject/1023045/"
cdJKc3EBZhrcTXFrDeND,"douban_book_top250",0,"_doc","诗经","孔丘 编订","2006-7","北京出版社","19.90元","-","https://book.douban.com/subject/1883245/"
ctJKc3EBZhrcTXFrDeNY,"douban_book_top250",0,"_doc","巨人的陨落:世纪三部曲","[英] 肯·福莱特","2016-5-1","江苏凤凰文艺出版社","129.80元","于大卫","https://book.douban.com/subject/26698660/"
c9JKc3EBZhrcTXFrDeNu,"douban_book_top250",0,"_doc","悉达多","[德] 赫尔曼·黑塞","2009-3","上海人民出版社","20.00","杨玉功 译","https://book.douban.com/subject/3406401/"
dNJKc3EBZhrcTXFrDeOE,"douban_book_top250",0,"_doc","这些人，那些事","吴念真","2011-9","译林出版社","28.00元","-","https://book.douban.com/subject/6388661/"
ddJKc3EBZhrcTXFrDeOZ,"douban_book_top250",0,"_doc","一个叫欧维的男人决定去死","[瑞典] 弗雷德里克·巴克曼","2015-12","四川文艺出版社","35.00元","宁蒙","https://book.douban.com/subject/26672693/"
dtJKc3EBZhrcTXFrDeOt,"douban_book_top250",0,"_doc","教父","[美]马里奥·普佐","1997-8","译林出版社","23.30元","周汉林","https://book.douban.com/subject/1092335/"
d9JKc3EBZhrcTXFrDePZ,"douban_book_top250",0,"_doc","道德经精义","黄元吉","1996-10","陕西人民出版社","4.50元","-","https://book.douban.com/subject/1059258/"
eNJKc3EBZhrcTXFrDeP0,"douban_book_top250",0,"_doc","海子的诗","海子","1999-04","人民文学出版社","15.40","-","https://book.douban.com/subject/1011754/"
edJKc3EBZhrcTXFrDuML,"douban_book_top250",0,"_doc","呼兰河传:1947年版本・原版珍藏","萧红","2005-01","百花文艺出版社","19.00","-","https://book.douban.com/subject/1060852/"
etJKc3EBZhrcTXFrDuMg,"douban_book_top250",0,"_doc","看不见的城市","[意大利]伊塔洛·卡尔维诺","2006-8","译林出版社","16.00元","张宓","https://book.douban.com/subject/1863930/"
e9JKc3EBZhrcTXFrDuM1,"douban_book_top250",0,"_doc","飞鸟集","[印] 罗宾德拉纳德·泰戈尔","2004-6","哈尔滨出版社","16.80元","徐翰林","https://book.douban.com/subject/1058661/"
fNJKc3EBZhrcTXFrDuNL,"douban_book_top250",0,"_doc","最好的告别:关于衰老与死亡，你必须知道的常识","[美] 阿图·葛文德（Atul Gawande）","2015-7-31","浙江人民出版社","CNY 54.90","王一方 主编","https://book.douban.com/subject/26576861/"
